"","stn","wban","year","moda","temp","Tobs","dewp","Dobs","slp","Sobs","stp","Pobs","visib","Vobs","wdsp","Wobs","mxspd","gust","max","xf","min","nf","prcp","pf","sndp","frshtt"
"52",32200,99999,2000,"0521",53.1,24,45.5,24,1007.4,24,NA,0,21.1,24,3.8,24,11.1,NA,61.5,"",46.4,"",0,"E",NA,"000000"
"53",32200,99999,2000,"0522",51.4,24,41.5,24,1013.1,24,NA,0,21.8,24,6.5,24,14,NA,58.1,"",46.9,"",0,"I",NA,"000000"
"54",32200,99999,2000,"0523",50.1,23,42.7,23,1006.4,23,NA,0,19.4,23,6.9,23,12,NA,55.4,"",43.7,"*",0.1,"F",NA,"000000"
"55",32200,99999,2000,"0524",49.3,23,39.5,23,1009.6,23,NA,0,18.3,23,6.1,23,14,NA,57.7,"",41.7,"",0,"I",NA,"000000"
"56",32200,99999,2000,"0525",49.5,24,40.6,24,1006.6,24,NA,0,26,24,8.8,24,18.1,NA,56.1,"",45,"",0.04,"F",NA,"000000"
"57",32200,99999,2000,"0526",48.4,24,42.2,24,1006.8,24,NA,0,19.8,24,2.7,24,8,NA,54.9,"",42.8,"",0.16,"F",NA,"000000"
"58",32200,99999,2000,"0527",48,24,41.6,24,999.8,24,NA,0,21.7,24,8.8,24,19,NA,55,"",43,"",0.47,"F",NA,"000000"
"59",32200,99999,2000,"0528",47.8,22,40.1,22,1001.5,22,NA,0,24.1,22,3.8,22,13,NA,58.5,"",39,"",0.08,"F",NA,"000000"
"60",32200,99999,2000,"0529",50.4,24,41.2,24,1011,24,NA,0,26.1,24,6.8,24,15.9,NA,60.1,"",42.4,"",0.08,"E",NA,"000000"
"61",32200,99999,2000,"0530",51,24,40.7,24,1013.6,24,NA,0,21.1,24,3.7,24,11.1,NA,59.7,"",38.7,"",0,"I",NA,"000000"
"62",32200,99999,2000,"0531",52.3,23,42.2,23,1015.1,23,NA,0,18.3,23,4.8,23,14,NA,60.6,"",42.3,"",0,"I",NA,"000000"
"63",32200,99999,2000,"0601",55.9,24,51.8,24,1007.6,24,NA,0,17.8,24,11.8,24,19,NA,61.3,"",50.7,"",0.12,"F",NA,"000000"
"64",32200,99999,2000,"0602",51.7,24,48.7,24,1014.9,24,NA,0,12.6,24,8.3,24,15.9,NA,56.5,"",46.2,"*",0.12,"F",NA,"000000"
"65",32200,99999,2000,"0603",47.7,24,43.3,24,1020.2,24,NA,0,15.9,24,11.4,23,15.9,NA,51.4,"",45.3,"",0.08,"F",NA,"000000"
"66",32200,99999,2000,"0604",47,23,43.1,23,1018.3,23,NA,0,21.3,23,9.5,23,14,NA,50.5,"",43.9,"",0.16,"F",NA,"000000"
"67",32200,99999,2000,"0605",51.1,23,45.2,23,1020.8,23,NA,0,17.8,23,5.6,23,9.9,NA,56.3,"",45.3,"",0.2,"F",NA,"000000"
"68",32200,99999,2000,"0606",51.6,24,47.3,24,1017.8,24,NA,0,13.7,24,4.6,24,12,NA,57.2,"",46.6,"",0.16,"F",NA,"000000"
"69",32200,99999,2000,"0607",52.4,23,45.3,23,1020.9,23,NA,0,15.3,23,7,23,14,NA,59.9,"",43.7,"",0.44,"F",NA,"000000"
"70",32200,99999,2000,"0608",55.8,24,46.8,24,1011.7,24,NA,0,16.5,24,6.5,24,14,NA,64.9,"",48.9,"",0.12,"F",NA,"000000"
